Periode;org_1;org_2;org_3;sto;order_id;trouble_no;ket_exclude;Wilsus
202604;AREA 3;JATENG-DIY;YOGYAKARTA;PKM;AOi4260226114704362322c00;INC48711184;;0
202604;AREA 1;SUMBAGUT;CENTRAL MEDAN;PUB;AOi4260225081502382172050;INC48694967;;0
202604;AREA 3;JATIM;MADIUN;KDI;AOi42602260258038543f3d90;INC48690857;;0
202604;AREA 4;KALIMANTAN;BANJARMASIN;GMB;AOi42602281150387699ea210;INC48677784;;0
202604;AREA 3;BALI NUSRA;FLORES;MMR;AOi42602260443038787a6e30;INC48658795;;0
202604;AREA 2;CENTRAL JABOTABEK;NORTHERN JAKARTA;PLM;AOb026022611552941100c720;INC48655383;;0
202604;AREA 3;JATIM;SIDOARJO;SDN;AOi426022801104433656d1a0;INC48651867;;0
202604;AREA 4;KALIMANTAN;BALIKPAPAN;GSA;AOb0260227053349105ee4bd0;INC48647205;;0
202604;AREA 2;CENTRAL JABOTABEK;NORTHERN JAKARTA;KTX;AOi426022602135346016d130;INC48646092;;0
202604;AREA 1;SUMBAGTENG;BUKIT TINGGI;PYK;AOi4260226073734862c5d920;INC48641261;;0
202604;AREA 2;JABAR;BANDUNG;LBG;AOi4260225053917922f38580;INC48640362;;0
202604;AREA 2;JABAR;SOREANG;RCK;AOk42602271051540359a9930;INC48640191;;0
202604;AREA 2;CENTRAL JABOTABEK;NORTHERN JAKARTA;PLM;AOi4260226061431728c9cb20;INC48638570;;0
202604;AREA 3;JATIM;LAMONGAN;KDE;AOi4260226093652166d90a90;INC48635746;;0
202604;AREA 1;SUMBAGTENG;PADANG;KJI;AOi4260227103206410f7bf90;INC48634577;;0
202604;AREA 2;WESTERN JABOTABEK;TANGERANG;CLD;AOi42602260851266188e7f30;INC48618415;;0
202604;AREA 4;KALIMANTAN;PONTIANAK;PTK;AOi4260224053546148d6e5c0;INC48611503;;0
202604;AREA 3;JATENG-DIY;PEKALONGAN;BBT;AOi4260226093402886e0f6b0;INC48605926;;0
202604;AREA 3;JATENG-DIY;PURWOKERTO;AJB;AOi4260225101837362164320;INC48605313;;0
202604;AREA 3;JATIM;JEMBER;KPP;AOi4260225104414486cce7a0;INC48604116;;1
202604;AREA 2;JABAR;TASIKMALAYA;TSM;AOi1260228075948512be4e10;INC48602005;;0
202604;AREA 1;SUMBAGUT;CENTRAL MEDAN;CTD;AOi42602261002539400b4fb0;INC48595242;;0
202604;AREA 1;SUMBAGUT;PEMATANG SIANTAR;BST;AOi42602241121517180fcd70;INC48595231;;0
202604;AREA 1;SUMBAGUT;BANDA ACEH;BPD;AOi42602271226450628218e0;INC48594134;;0
202604;AREA 1;SUMBAGUT;CENTRAL MEDAN;TJR;AOi4260226082405254920e60;INC48592773;;0
202604;AREA 1;SUMBAGUT;BANDA ACEH;KTN;AOi4260223114450055798780;INC48592228;;1
202604;AREA 4;MALUKU DAN PAPUA;AMBON;ABO;AOi42602230652214762b33f0;INC48591539;;0
202604;AREA 3;JATENG-DIY;PEKALONGAN;PKL;AOi4260224085246788db22a0;INC48589696;;0
202604;AREA 1;SUMBAGUT;CENTRAL MEDAN;TMU;AOi4260228105122630e76340;INC48578883;;0
202604;AREA 1;SUMBAGTENG;PADANG;ULK;AOi426022405460743151ed60;INC48577120;;0
202604;AREA 4;KALIMANTAN;PONTIANAK;SNW;AOi4260227074345330717510;INC48575851;;0
202604;AREA 3;JATENG-DIY;MAGELANG;MGE;AOi42602201138592729eb7d0;INC48575231;;0
202604;AREA 2;CENTRAL JABOTABEK;NORTHERN JAKARTA;TPR;AOs3260227101807593b24b70;INC48574620;;0
202604;AREA 4;KALIMANTAN;PONTIANAK;JAW;AOi4260226103007543890140;INC48571691;;0
202604;AREA 3;BALI NUSRA;MATARAM;BIM;AOi4260224085444422f4f850;INC48567858;;0
202604;AREA 1;SUMBAGUT;CENTRAL MEDAN;TJM;AOs3260227113655123b89660;INC48565157;;0
202604;AREA 4;KALIMANTAN;PANGKALAN BUN;KTP;AOi4260222030201147fe4750;INC48560918;;0
202604;AREA 1;SUMBAGSEL;JAMBI;PAP;AOi4260226043825583f93da0;INC48560150;;0
202604;AREA 3;BALI NUSRA;DENPASAR;MMN;AOi426022601343258806f9b0;INC48557801;;0
202604;AREA 3;JATIM;SURABAYA;PME;AOi4260222101344741d9c960;INC48554249;;0
202604;AREA 2;WESTERN JABOTABEK;TANGERANG;PKU;AOs3260223030744640273920;INC48552604;;0
202604;AREA 2;JABAR;SOREANG;RCK;AOk42602271051540359a9930;INC48549408;;0
202604;AREA 1;SUMBAGTENG;BATAM;LBJ;AOi42602241148287639ad060;INC48548794;;0
202604;AREA 3;JATENG-DIY;SEMARANG;SSL;AOi42602241256536909ccfc0;INC48547330;;0
202604;AREA 1;SUMBAGUT;CENTRAL MEDAN;PUB;AOi4260225033041753cd9e20;INC48545577;;0
202604;AREA 4;KALIMANTAN;BANJARMASIN;MTP;AOi4260223065501207e28390;INC48544719;;0
202604;AREA 3;JATENG-DIY;PEKALONGAN;KTM;AOi4260225074838627586610;INC48544330;;0
202604;AREA 1;SUMBAGSEL;LAMPUNG;BDA;AOi4260212025748775ba8430;INC48543506;;0
202604;AREA 1;SUMBAGUT;BANDA ACEH;TKN;AOi12602210303419388a6000;INC48543361;;0
202604;AREA 1;SUMBAGUT;PEMATANG SIANTAR;PDN;AOi4260224072301883dd9e30;INC48542789;;1
202604;AREA 4;KALIMANTAN;BANJARMASIN;LUL;AOk42602210815017578fc5b0;INC48542609;;0
202604;AREA 2;JABAR;SOREANG;RCK;AOk42602271051540359a9930;INC48541859;;0
202604;AREA 1;SUMBAGSEL;PALEMBANG;PGC;AOi4260223114839690692330;INC48540271;;0
202604;AREA 1;SUMBAGUT;WESTERN MEDAN;LGS;AOi4260218122626733017290;INC48534852;;0
202604;AREA 4;SULAWESI;MAKASSAR;SUG;AOi4260221112516635207270;INC48531547;;0
202604;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;PSM;AOi4260225092357586736680;INC48531752;;0
202604;AREA 4;SULAWESI;GORONTALO;KWD;AOi426022212420906239aef0;INC48529736;;0
202604;AREA 1;SUMBAGSEL;LAMPUNG;KBI;AOi4260226085033696e66eb0;INC48522355;;0
202604;AREA 1;SUMBAGSEL;BENGKULU;MNA;AOi4260223011925650ba1cd0;INC48517691;;1
202604;AREA 4;SULAWESI;PALU;PLA;AOi42602240433428456aaad0;INC48517513;;0
202604;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;PSM;AOi4260225092357586736680;INC48515149;;0
202604;AREA 1;SUMBAGSEL;PANGKAL PINANG;TJN;AOi4260227125250693ecd260;INC48514679;;0
202604;AREA 3;JATIM;JEMBER;KKH;AOi4260223050451806bbfe10;INC48512046;;0
202604;AREA 4;KALIMANTAN;BALIKPAPAN;BAM;AOi426022106400997517d9b0;INC48510207;;0
202604;AREA 2;EASTERN JABOTABEK;BEKASI;CSL;AOi4260224111509987620a20;INC48509991;;0
202604;AREA 1;SUMBAGUT;CENTRAL MEDAN;CTD;AOi4260227072105583fdde70;INC48509307;;0
202604;AREA 1;SUMBAGUT;BANDA ACEH;MGD;AOi426022702380356724c090;INC48508580;;0
202604;AREA 4;KALIMANTAN;BALIKPAPAN;MLA;AOi4260224092736725c36640;INC48508148;;1
202604;AREA 2;CENTRAL JABOTABEK;NORTHERN JAKARTA;MRY;AOi4260225115613584514550;INC48504968;;0
202604;AREA 1;SUMBAGSEL;PANGKAL PINANG;TJN;AOi42602251225421450813d0;INC48504377;;0
202604;AREA 4;KALIMANTAN;PONTIANAK;SDR;AOi42602240127375326e3170;INC48503649;;0
202604;AREA 1;SUMBAGUT;PEMATANG SIANTAR;PSA;AOk4260225023103696e7afe0;INC48495863;;0
202604;AREA 3;BALI NUSRA;KUPANG;ATB;AOi4260223015659873576cc0;INC48493691;;0
202604;AREA 4;SULAWESI;PALU;PLA;AOi1260224081139256d8f260;INC48492970;;0
202604;AREA 3;BALI NUSRA;KUPANG;KEF;AOi42602270705574635c94d0;INC48492569;;0
202604;AREA 1;SUMBAGSEL;JAMBI;MND;AOi42602261210438594483e0;INC48488892;;0
202604;AREA 1;SUMBAGTENG;BATAM;TPI;AOi4260219021203025bcd060;INC48486953;;0
202604;AREA 4;SULAWESI;MANADO;SFI;AOs32602140740394846ce690;INC48486322;;0
202604;AREA 4;SULAWESI;PARE-PARE;MAM;AOi126022605102833522e0f0;INC48483626;;0
202604;AREA 2;JABAR;BANDUNG;NJG;AOi4260222095639176fa0350;INC48482260;;0
202604;AREA 3;BALI NUSRA;DENPASAR;MMN;AOi4260223052515174c3b510;INC48481600;;0
202604;AREA 3;JATIM;SURABAYA;SPG;AOi4260218035751740c85a60;INC48481450;;0
202604;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;PSM;AOi4260222095127531875b70;INC48480953;;0
