Periode;tsel_area;tsel_regional;tsel_branch;sto;Order_Type;SLA_Threshold_Hours;reference_for_counting;reason_of_reference;Duration_Hours;SLA_Status
202604;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;PSM;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);16,11;Comply
202604;AREA 3;JATIM;SURABAYA;MYR;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATIM;MALANG;SWJ;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATIM;SURABAYA;GBG;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);40,90;Not Comply
202604;AREA 3;JATIM;SURABAYA;TNS;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);331,01;Not Comply
202604;AREA 3;JATENG-DIY;YOGYAKARTA;PGR;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATENG-DIY;PURWOKERTO;PWT;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);43,23;Not Comply
202604;AREA 3;JATIM;SURABAYA;KLN;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);67,30;Not Comply
202604;AREA 3;JATIM;SURABAYA;LKI;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);24,33;Not Comply
202604;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;KRG;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);43,46;Not Comply
202604;AREA 4;KALIMANTAN;BANJARMASIN;BBR;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);48,49;Not Comply
202604;AREA 2;EASTERN JABOTABEK;KARAWANG;BGG;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);19,49;Comply
202604;AREA 3;JATENG-DIY;YOGYAKARTA;SMN;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);96,59;Not Comply
202604;AREA 4;KALIMANTAN;BANJARMASIN;BLC;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 2;JABAR;BANDUNG;BTJ;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);120,60;Not Comply
202604;AREA 2;EASTERN JABOTABEK;BEKASI;KLB;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);41,61;Not Comply
202604;AREA 4;KALIMANTAN;PONTIANAK;SRY;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 1;SUMBAGUT;RANTAU PRAPAT;TJB;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);19,83;Comply
202604;AREA 4;KALIMANTAN;PONTIANAK;SPY;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);137,86;Not Comply
202604;AREA 3;JATIM;SIDOARJO;GEM;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);1,00;Comply
202604;AREA 4;SULAWESI;MAKASSAR;SUD;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);138,00;Not Comply
202604;AREA 1;SUMBAGTENG;PADANG;ULK;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 4;SULAWESI;PALU;PLA;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;CPE;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);90,46;Not Comply
202604;AREA 1;SUMBAGSEL;JAMBI;RBB;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);92,79;Not Comply
202604;AREA 2;WESTERN JABOTABEK;TANGERANG;TAN;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);44,96;Not Comply
202604;AREA 4;MALUKU DAN PAPUA;JAYAPURA;WAE;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 4;KALIMANTAN;BANJARMASIN;TKI;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);2,36;Comply
202604;AREA 4;KALIMANTAN;BANJARMASIN;BBR;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 4;KALIMANTAN;BANJARMASIN;KPL;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);2,40;Comply
202604;AREA 4;SULAWESI;MANADO;MDO;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 1;SUMBAGUT;CENTRAL MEDAN;CTD;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);21,48;Comply
202604;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;KAL;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);26,56;Not Comply
202604;AREA 2;JABAR;SOREANG;BJA;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);26,61;Comply
202604;AREA 3;JATIM;MALANG;PKS;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);21,63;Comply
202604;AREA 4;KALIMANTAN;BANJARMASIN;LUL;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);2,73;Comply
202604;AREA 4;KALIMANTAN;BANJARMASIN;MTP;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATENG-DIY;PURWOKERTO;PWT;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);50,77;Not Comply
202604;AREA 4;SULAWESI;MAKASSAR;SUG;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATIM;SURABAYA;KNN;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);26,83;Not Comply
202604;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;KMY;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);19,84;Comply
202604;AREA 3;JATIM;SIDOARJO;SDN;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);26,86;Not Comply
202604;AREA 4;KALIMANTAN;TARAKAN;TRK;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);314,92;Not Comply
202604;AREA 2;EASTERN JABOTABEK;KARAWANG;CIK;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);99,05;Not Comply
202604;AREA 3;JATENG-DIY;MAGELANG;SWT;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);46,24;Not Comply
202604;AREA 4;KALIMANTAN;SAMARINDA;LKT;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 2;JABAR;BANDUNG;TRG;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);3,33;Comply
202604;AREA 2;WESTERN JABOTABEK;TANGERANG;CPA;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);68,34;Not Comply
