Periode;tsel_area;tsel_regional;tsel_branch;sto;reference_for_counting;reason_of_reference;Duration_Hours;SLA_Status
202602;AREA 3;BALINUSRA;DENPASAR;SWI;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;BALINUSRA;DENPASAR;KLM;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATIM;JEMBER;BWG;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATIM;SURABAYA;DMO;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATIM;JEMBER;JER;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATIM;JEMBER;JER;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATIM;JEMBER;KBS;PI;tanggal_manja kosong → pakai date_pi_startwork (durasi negatif di-clamp ke 0 = Comply);5,74;Comply
202602;AREA 3;JATENG;YOGYAKARTA;KEN;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATIM;LAMONGAN;BDG;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATIM;JEMBER;BOW;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATENG;SEMARANG;MJP;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATIM;MADIUN;PNZ;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATENG;YOGYAKARTA;KBU;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATENG;YOGYAKARTA;KEN;PI;tanggal_manja kosong → pakai date_pi_startwork (durasi negatif di-clamp ke 0 = Comply);1,00;Comply
202602;AREA 3;BALINUSRA;DENPASAR;UBN;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);1,52;Comply
202602;AREA 3;JATENG;YOGYAKARTA;KBU;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATIM;SURABAYA;JGR;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;BALINUSRA;DENPASAR;GIN;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;BALINUSRA;DENPASAR;SMY;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATENG;YOGYAKARTA;KEN;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATENG;YOGYAKARTA;GOD;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;BALINUSRA;DENPASAR;UBU;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATIM;LAMONGAN;LMG;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATIM;MADIUN;NJK;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATENG;YOGYAKARTA;KEN;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATENG;PEKALONGAN;PKL;PI;tanggal_manja kosong → pakai date_pi_startwork (durasi negatif di-clamp ke 0 = Comply);2,29;Comply
202602;AREA 3;JATIM;LAMONGAN;LMG;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATIM;JEMBER;KRZ;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATENG;YOGYAKARTA;WTS;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATIM;JEMBER;BWG;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);5,75;Comply
202602;AREA 3;JATIM;JEMBER;GEN;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);5,75;Comply
202602;AREA 3;JATIM;MADIUN;PPR;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);4,40;Comply
202602;AREA 3;JATIM;JEMBER;LMJ;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATIM;SURABAYA;GBG;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATIM;MALANG;TUL;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);4,48;Comply
202602;AREA 3;JATIM;JEMBER;BKI;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);7,76;Comply
202602;AREA 3;JATIM;MALANG;TUL;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);4,38;Comply
202602;AREA 3;JATIM;MALANG;BLR;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);4,38;Comply
202602;AREA 3;JATENG;YOGYAKARTA;WTS;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATENG;YOGYAKARTA;SMN;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATIM;SIDOARJO;BNL;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATENG;SEMARANG;UNR;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202602;AREA 3;JATIM;MALANG;BLR;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);4,38;Comply
