Periode;tsel_area;tsel_regional;tsel_branch;sto;Order_Type;SLA_Threshold_Hours;reference_for_counting;reason_of_reference;Duration_Hours;SLA_Status
202606;TREG 3;YOGYA JATENG SELATAN;YOGYAKARTA;KEN;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202606;TREG 3;JATIM BARAT;MALANG;BLB;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);23,95;Comply
202606;TREG 3;YOGYA JATENG SELATAN;YOGYAKARTA;KGD;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);1,21;Comply
202606;TREG 3;YOGYA JATENG SELATAN;PURWOKERTO;PWT;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);5,08;Comply
202606;TREG 3;JATIM TIMUR;PANDAAN;GEM;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202606;TREG 3;YOGYA JATENG SELATAN;KEBUMEN;KBM;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202606;TREG 3;SURAMADU;SURABAYA UTARA;KPS;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);52,07;Not Comply
202606;TREG 3;JATIM BARAT;BATU;KPO;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202606;TREG 3;SURAMADU;SURABAYA UTARA;LKI;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);9,84;Comply
202606;TREG 3;YOGYA JATENG SELATAN;PURWOKERTO;PWT;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);49,81;Not Comply
202606;TREG 3;SEMARANG JATENG UTARA;BREBES;BKA;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,50;Comply
202606;TREG 3;SEMARANG JATENG UTARA;SEMARANG;MJP;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202606;TREG 3;SOLO JATENG TIMUR;SOLO;KRT;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);147,96;Not Comply
202606;TREG 3;SURAMADU;GRESIK;GSK;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);152,25;Not Comply
202606;TREG 3;SURAMADU;SURABAYA UTARA;LKI;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);26,51;Not Comply
202606;TREG 3;SOLO JATENG TIMUR;PATI;JWN;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202606;TREG 3;SEMARANG JATENG UTARA;SLAWI;SLW;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);1,11;Comply
202606;TREG 3;SURAMADU;BANGKALAN;BKL;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202606;TREG 3;YOGYA JATENG SELATAN;YOGYAKARTA;KGD;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);27,92;Not Comply
202606;TREG 3;SURAMADU;SURABAYA SELATAN;GBG;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);80,74;Not Comply
202606;TREG 3;SURAMADU;SURABAYA UTARA;KPS;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);72,78;Not Comply
202606;TREG 3;YOGYA JATENG SELATAN;PURWOKERTO;PWT;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);128,06;Not Comply
202606;TREG 3;YOGYA JATENG SELATAN;PURWOKERTO;PWT;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);119,72;Not Comply
202606;TREG 3;SOLO JATENG TIMUR;SOLO;KRT;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);80,92;Not Comply
202606;TREG 3;YOGYA JATENG SELATAN;YOGYAKARTA;KBU;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,18;Comply
202606;TREG 3;JATIM TIMUR;PROBOLINGGO;PBL;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);53,16;Not Comply
202606;TREG 3;JATIM TIMUR;BANYUWANGI;BWG;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);23,83;Comply
202606;TREG 3;SOLO JATENG TIMUR;SOLO;MSO;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);150,52;Not Comply
202606;TREG 3;SOLO JATENG TIMUR;SOLO;GLD;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);72,62;Not Comply
202606;TREG 3;YOGYA JATENG SELATAN;YOGYAKARTA;KBU;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);8,19;Comply
202606;TREG 3;SOLO JATENG TIMUR;SOLO;GLD;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);74,69;Not Comply
202606;TREG 3;YOGYA JATENG SELATAN;YOGYAKARTA;PGR;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);26,70;Comply
202606;TREG 3;YOGYA JATENG SELATAN;CILACAP;GML;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
