Periode;org_1;org_2;org_3;sto;order_id;trouble_no;ket_exclude;Wilsus
202602;AREA 1;SUMBAGTENG;BATAM;BLP;AOi4251213090106139a107e0;INC43942840;;0
202602;AREA 1;SUMBAGTENG;PADANG;SGD;AOi425121606181017931ddb0;INC44974066;;0
202602;AREA 1;SUMBAGUT;BANDA ACEH;LOA;AOi42512160257119049ad570;INC45586940;;0
202602;AREA 1;SUMBAGUT;BANDA ACEH;LOA;AOi4251129014612634a25ff0;INC46530242;;0
202602;AREA 1;SUMBAGSEL;BENGKULU;MUA;AOi4251205111718777681c30;INC43503791;;0
202602;AREA 1;SUMBAGSEL;BENGKULU;MUA;AOi4251223115416670e26b00;INC45882091;;0
202602;AREA 1;SUMBAGUT;BANDA ACEH;BIR;AOs325122301584662642d640;INC45195219;;0
202602;AREA 1;SUMBAGUT;BANDA ACEH;BIR;AOi4251223054954124ea2890;INC45236901;;0
202602;AREA 1;SUMBAGTENG;BATAM;DBS;AOi4251220112708588a372b0;INC44110170;;1
202602;AREA 1;SUMBAGTENG;BATAM;DBS;AOi4251209120300455eb6220;INC44774067;;1
202602;AREA 1;SUMBAGTENG;BATAM;DBS;AOi425120110191317542c7e0;INC45477881;;1
202602;AREA 1;SUMBAGTENG;PADANG;ALH;AOi4251214074205956eee430;INC46431856;;1
202602;AREA 1;SUMBAGSEL;PALEMBANG;MEM;AOk4251224091058787b669b0;INC44441770;;1
202602;AREA 1;SUMBAGSEL;PALEMBANG;MEM;AOk4251224091058787b669b0;INC44725395;;1
202602;AREA 1;SUMBAGSEL;PANGKAL PINANG;JBS;AOi4251217043658497650850;INC45320073;;1
202602;AREA 1;SUMBAGSEL;PANGKAL PINANG;JBS;AOi1251208111916270d895d0;INC45022580;;1
202602;AREA 1;SUMBAGUT;BANDA ACEH;BIR;AOi4251208104809135585720;INC43720867;;0
202602;AREA 1;SUMBAGUT;BANDA ACEH;BIR;AOi42512131239462804d5b10;INC44064758;;0
202602;AREA 1;SUMBAGUT;BANDA ACEH;BIR;AOi4251220062624155e65b20;INC46485500;;0
202602;AREA 1;SUMBAGUT;BANDA ACEH;BIR;AOi4251204021807865d846d0;INC44034812;;0
202602;AREA 1;SUMBAGUT;BANDA ACEH;BIR;PDAk4251223093814468486af0;INC46020333;;0
202602;AREA 1;SUMBAGUT;BANDA ACEH;BIR;AOi42512131239462804d5b10;INC46224343;;0
202602;AREA 1;SUMBAGUT;BANDA ACEH;BIR;AOi4251208104809135585720;INC43839869;;0
202602;AREA 1;SUMBAGUT;CENTRAL MEDAN;TTG;AOi4251223122503646dca1a0;INC44350218;;0
202602;AREA 1;SUMBAGSEL;LAMPUNG;PJN;AOi42512151027122924b5f10;INC45700129;;0
202602;AREA 1;SUMBAGTENG;PADANG;ALH;AOi42512120300533719ab230;INC43961817;;0
202602;AREA 1;SUMBAGTENG;PADANG;ALH;AOi42512060406222497c03d0;INC43680933;;0
202602;AREA 1;SUMBAGTENG;PADANG;BGS;AOi4251217125545396704fa0;INC45297030;;0
202602;AREA 1;SUMBAGSEL;PALEMBANG;PLJ;AOi4251129012837383d2da60;INC43535176;;0
202602;AREA 1;SUMBAGTENG;PADANG;LIM;AOi4251216103312262f16ba0;INC44446208;;0
202602;AREA 1;SUMBAGSEL;LAMPUNG;SPS;AOi42512180649457277df400;INC44623720;;0
202602;AREA 1;SUMBAGTENG;PADANG;KGG;AOi4251221073522031015a80;INC45091700;;0
202602;AREA 1;SUMBAGTENG;PADANG;KGG;AOi4251208120258257fe4c80;INC44118712;;0
202602;AREA 1;SUMBAGUT;RANTAU PRAPAT;TJB;AOi4251201041119801ac4970;INC44395603;;0
202602;AREA 1;SUMBAGUT;RANTAU PRAPAT;TJB;AOi42512130347097377e14e0;INC44549439;;0
202602;AREA 1;SUMBAGUT;RANTAU PRAPAT;TJB;AOk4251203083215776f1fbb0;INC44802043;;0
202602;AREA 1;SUMBAGUT;RANTAU PRAPAT;TJB;AOi42512230105387785d6440;INC45564207;;0
202602;AREA 1;SUMBAGUT;RANTAU PRAPAT;TJB;AOi4251201041203277b1e750;INC44396378;;0
